epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.0185,1.50074,1.78934,1.06451,0.57213,0.41428,0.43839,0.25402,1.38432,1.02402,0.99643,0.000221994,0.000221994,0.000221994
2,156.628,1.37229,1.07202,1.02739,0.67494,0.4761,0.51985,0.28539,1.3412,0.92909,0.99915,0.00043553,0.00043553,0.00043553
3,232.191,1.33037,0.94091,1.01408,0.69205,0.48019,0.53243,0.29293,1.34663,0.87944,1.00567,0.000640261,0.000640261,0.000640261
4,307.174,1.29343,0.8669,1.00457,0.7293,0.5028,0.56101,0.31631,1.31925,0.85816,0.99274,0.00062738,0.00062738,0.00062738
5,383.152,1.26391,0.81475,0.99208,0.72773,0.54056,0.60496,0.33748,1.28591,0.80177,0.98288,0.000614174,0.000614174,0.000614174
6,461.234,1.23763,0.77609,0.98277,0.75045,0.5404,0.6093,0.34241,1.27309,0.78615,0.98218,0.000600967,0.000600967,0.000600967
7,538.653,1.22274,0.75132,0.97696,0.74596,0.55584,0.62631,0.35367,1.27461,0.76241,0.97708,0.00058776,0.00058776,0.00058776
8,612.7,1.19719,0.72955,0.9695,0.7277,0.5795,0.63592,0.36502,1.26896,0.74659,0.97946,0.000574554,0.000574554,0.000574554
9,686.298,1.18089,0.70847,0.96524,0.7778,0.55064,0.63124,0.35806,1.24852,0.74647,0.96861,0.000561347,0.000561347,0.000561347
10,760.085,1.16729,0.68983,0.95873,0.75669,0.55899,0.63181,0.36571,1.25051,0.73925,0.97479,0.000548141,0.000548141,0.000548141
11,836.584,1.15147,0.67808,0.95444,0.74972,0.59267,0.65535,0.3753,1.24829,0.73014,0.97428,0.000534934,0.000534934,0.000534934
12,911.946,1.13982,0.66657,0.95133,0.73918,0.60792,0.66028,0.38669,1.2347,0.71728,0.96835,0.000521727,0.000521727,0.000521727
13,987.898,1.12256,0.65157,0.94487,0.74033,0.61275,0.65612,0.37933,1.24607,0.71374,0.96864,0.000508521,0.000508521,0.000508521
14,1071.59,1.11506,0.64274,0.94275,0.78214,0.59846,0.66681,0.38276,1.23397,0.70635,0.97285,0.000495314,0.000495314,0.000495314
15,1156.98,1.10486,0.6342,0.93899,0.7667,0.5989,0.65988,0.38178,1.24077,0.70687,0.97356,0.000482108,0.000482108,0.000482108
16,1238.58,1.09096,0.62272,0.93648,0.79598,0.59743,0.66227,0.38537,1.23622,0.70365,0.97287,0.000468901,0.000468901,0.000468901
17,1316.8,1.08088,0.61387,0.93297,0.76332,0.61718,0.67976,0.39348,1.22734,0.69551,0.9664,0.000455694,0.000455694,0.000455694
18,1394.18,1.0725,0.60718,0.93074,0.80739,0.60594,0.68311,0.39751,1.23068,0.69002,0.96795,0.000442488,0.000442488,0.000442488
19,1471.51,1.06286,0.59985,0.92724,0.79424,0.62112,0.68295,0.40175,1.23472,0.69729,0.96467,0.000429281,0.000429281,0.000429281
20,1548.75,1.05085,0.58966,0.92345,0.80123,0.59976,0.68159,0.39279,1.2343,0.68893,0.97098,0.000416075,0.000416075,0.000416075
21,1626.09,1.04146,0.5843,0.92131,0.77984,0.62359,0.69427,0.40219,1.21895,0.68471,0.96683,0.000402868,0.000402868,0.000402868
22,1704.68,1.03772,0.58096,0.92025,0.78123,0.62197,0.68665,0.39772,1.23221,0.68552,0.97089,0.000389661,0.000389661,0.000389661
23,1783.87,1.02276,0.57032,0.91646,0.83122,0.60817,0.69658,0.39894,1.22519,0.67716,0.96778,0.000376455,0.000376455,0.000376455
24,1858.49,1.0174,0.56567,0.91489,0.80613,0.61698,0.69387,0.40754,1.21599,0.67651,0.96687,0.000363248,0.000363248,0.000363248
25,1933.68,1.00925,0.55944,0.9118,0.79411,0.6355,0.69413,0.40934,1.21518,0.67406,0.96672,0.000350042,0.000350042,0.000350042
26,2011.11,1.0014,0.55529,0.90959,0.78801,0.64224,0.69803,0.40734,1.21778,0.67055,0.96493,0.000336835,0.000336835,0.000336835
27,2087.69,0.99185,0.55087,0.90775,0.77316,0.63277,0.70018,0.41213,1.22231,0.66747,0.96762,0.000323628,0.000323628,0.000323628
28,2165.85,0.98921,0.54698,0.90659,0.79546,0.63409,0.70107,0.40764,1.21792,0.66564,0.96686,0.000310422,0.000310422,0.000310422
29,2244.06,0.982,0.53948,0.90464,0.79439,0.63594,0.70368,0.40992,1.21992,0.66954,0.9646,0.000297215,0.000297215,0.000297215
30,2320.52,0.97467,0.53763,0.90219,0.79455,0.63716,0.70481,0.41348,1.22188,0.66987,0.96814,0.000284009,0.000284009,0.000284009
31,2398.17,0.96141,0.52941,0.8985,0.80656,0.62706,0.69981,0.40801,1.22037,0.66894,0.96925,0.000270802,0.000270802,0.000270802
32,2476.08,0.95896,0.52551,0.8979,0.78037,0.63779,0.702,0.40952,1.21757,0.66396,0.9668,0.000257595,0.000257595,0.000257595
33,2554.24,0.95088,0.52323,0.89752,0.80224,0.62246,0.69856,0.41202,1.21576,0.66699,0.96748,0.000244389,0.000244389,0.000244389
34,2631.96,0.9458,0.51862,0.89486,0.80033,0.62996,0.69777,0.40685,1.21839,0.67154,0.96787,0.000231182,0.000231182,0.000231182
35,2712.27,0.93725,0.51363,0.89294,0.80173,0.62877,0.69441,0.40736,1.21762,0.66969,0.9692,0.000217976,0.000217976,0.000217976
36,2790.89,0.93381,0.51105,0.89124,0.79624,0.63596,0.69924,0.40958,1.21166,0.66908,0.96745,0.000204769,0.000204769,0.000204769
37,2867.94,0.92527,0.50597,0.89136,0.7875,0.64656,0.70236,0.40962,1.21877,0.6664,0.97005,0.000191562,0.000191562,0.000191562
38,2945.5,0.91825,0.50233,0.88804,0.81666,0.62473,0.70116,0.41031,1.21667,0.66392,0.96939,0.000178356,0.000178356,0.000178356
39,3022.83,0.91406,0.49917,0.88607,0.79189,0.63703,0.70293,0.41182,1.21054,0.66313,0.96539,0.000165149,0.000165149,0.000165149
40,3100.68,0.9071,0.49557,0.88552,0.82382,0.61666,0.70162,0.4136,1.21105,0.66033,0.96623,0.000151943,0.000151943,0.000151943
