epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.9079,1.52441,2.13532,1.09257,0.46149,0.31506,0.32944,0.18204,1.43931,1.10836,1.04423,0.00332317,0.00332317,0.00332317
2,134.637,1.41453,1.20974,1.04964,0.60487,0.43459,0.4723,0.27158,1.38775,1.02515,1.02282,0.00662355,0.00662355,0.00662355
3,199.308,1.4132,1.12848,1.04767,0.62627,0.45462,0.46386,0.24861,1.41364,1.03784,1.04861,0.00989094,0.00989094,0.00989094
4,263.839,1.41244,1.0629,1.05195,0.65723,0.46308,0.49168,0.26102,1.39818,0.9601,1.04349,0.0098515,0.0098515,0.0098515
5,328.097,1.35747,0.9458,1.03106,0.67767,0.47307,0.53393,0.29365,1.38611,0.91875,1.02704,0.009802,0.009802,0.009802
6,392.525,1.31629,0.87998,1.01714,0.70258,0.5108,0.55837,0.30765,1.36089,0.87437,1.01916,0.0097525,0.0097525,0.0097525
7,458.639,1.2921,0.83621,1.00957,0.6974,0.53156,0.5707,0.31948,1.31324,0.82041,1.00729,0.009703,0.009703,0.009703
8,523.145,1.26671,0.80271,1.00008,0.70467,0.51381,0.5736,0.30928,1.33181,0.8426,1.00856,0.0096535,0.0096535,0.0096535
9,587.536,1.2501,0.77663,0.99354,0.69606,0.54063,0.59039,0.32411,1.30268,0.80795,1.00799,0.009604,0.009604,0.009604
10,652.335,1.23118,0.75256,0.98605,0.75032,0.56659,0.62903,0.35096,1.28104,0.77921,1.00169,0.0095545,0.0095545,0.0095545
11,716.902,1.21309,0.73379,0.98073,0.74648,0.58934,0.63156,0.35619,1.27735,0.76028,0.99456,0.009505,0.009505,0.009505
12,781.448,1.19679,0.71613,0.97528,0.74192,0.58109,0.63808,0.36037,1.27175,0.75025,0.99146,0.0094555,0.0094555,0.0094555
13,847.142,1.18286,0.70217,0.96867,0.74836,0.57252,0.63628,0.36503,1.25906,0.75341,0.98626,0.009406,0.009406,0.009406
14,911.756,1.17125,0.69391,0.96611,0.77237,0.58851,0.64639,0.36825,1.24782,0.73668,0.98333,0.0093565,0.0093565,0.0093565
15,976.049,1.16138,0.68031,0.96179,0.76445,0.59013,0.65902,0.37487,1.24909,0.73144,0.98254,0.009307,0.009307,0.009307
16,1040.4,1.15077,0.67013,0.95927,0.76707,0.59748,0.65325,0.37483,1.23307,0.71332,0.97987,0.0092575,0.0092575,0.0092575
17,1104.67,1.14126,0.66433,0.95464,0.77191,0.59059,0.66099,0.37696,1.2365,0.70915,0.98582,0.009208,0.009208,0.009208
18,1169.04,1.13431,0.65499,0.95269,0.7782,0.60313,0.66738,0.38219,1.23623,0.70813,0.98053,0.0091585,0.0091585,0.0091585
19,1233.22,1.11939,0.64477,0.9491,0.74939,0.62265,0.66736,0.38273,1.24072,0.71084,0.97961,0.009109,0.009109,0.009109
20,1297.78,1.11129,0.63722,0.94454,0.80267,0.60811,0.67459,0.38561,1.23056,0.70955,0.97311,0.0090595,0.0090595,0.0090595
21,1362.15,1.10136,0.62751,0.94198,0.73861,0.62545,0.67574,0.38714,1.23358,0.70454,0.97836,0.00901,0.00901,0.00901
22,1426.77,1.09319,0.6251,0.93945,0.8063,0.61402,0.68789,0.39508,1.23009,0.69232,0.97962,0.0089605,0.0089605,0.0089605
23,1491.18,1.0867,0.61805,0.93697,0.79211,0.61824,0.68092,0.39941,1.21764,0.67687,0.97671,0.008911,0.008911,0.008911
24,1555.4,1.08075,0.61254,0.93465,0.79515,0.61205,0.68111,0.39562,1.21987,0.6867,0.97227,0.0088615,0.0088615,0.0088615
25,1619.9,1.07214,0.60583,0.93303,0.77918,0.6102,0.67715,0.39395,1.23154,0.69195,0.97795,0.008812,0.008812,0.008812
26,1684.19,1.06479,0.60047,0.93049,0.79577,0.61883,0.68699,0.39726,1.21954,0.68025,0.97337,0.0087625,0.0087625,0.0087625
27,1748.58,1.05631,0.59571,0.92838,0.78838,0.63735,0.69613,0.40774,1.21551,0.67945,0.97293,0.008713,0.008713,0.008713
28,1813.2,1.05222,0.59282,0.92654,0.79729,0.62968,0.69551,0.41108,1.21176,0.67105,0.97163,0.0086635,0.0086635,0.0086635
29,1877.69,1.04518,0.58613,0.92568,0.80039,0.62878,0.69862,0.41253,1.2169,0.66804,0.97223,0.008614,0.008614,0.008614
30,1942.22,1.04272,0.58506,0.92397,0.81759,0.63455,0.6894,0.40143,1.20098,0.665,0.96881,0.0085645,0.0085645,0.0085645
31,2006.53,1.03367,0.5792,0.92228,0.77778,0.64054,0.69054,0.40189,1.20303,0.66748,0.96809,0.008515,0.008515,0.008515
32,2070.62,1.02885,0.57572,0.91954,0.81238,0.63551,0.70195,0.41064,1.21041,0.6608,0.9708,0.0084655,0.0084655,0.0084655
33,2135.22,1.02034,0.5699,0.91746,0.78274,0.64166,0.70317,0.41473,1.21327,0.65526,0.97196,0.008416,0.008416,0.008416
34,2199.64,1.01748,0.56952,0.91699,0.80025,0.64302,0.70301,0.41349,1.2031,0.65296,0.96826,0.0083665,0.0083665,0.0083665
35,2264.04,1.01148,0.56323,0.91522,0.81783,0.64277,0.70805,0.41455,1.20035,0.65883,0.96619,0.008317,0.008317,0.008317
36,2328.22,1.00709,0.56221,0.91328,0.81791,0.64038,0.70278,0.41151,1.20457,0.6539,0.96984,0.0082675,0.0082675,0.0082675
